ticker,sector,naive_RMSE,naive_MAE,naive_MAPE,naive_DirAcc,linreg_RMSE,linreg_MAE,linreg_MAPE,linreg_DirAcc,arima_RMSE,arima_MAE,arima_MAPE,arima_DirAcc,arima_order,lstm_RMSE,lstm_MAE,lstm_MAPE,lstm_DirAcc,epochs_trained,lstm_ret_RMSE,lstm_ret_MAE,lstm_ret_MAPE,lstm_ret_DirAcc
COALINDIA.NS,Energy,6.788524186237734,4.755674905617149,1.1028789803417614,2.23463687150838,7.191126300761109,5.2217488423149465,1.2103397924579948,53.63128491620112,6.792934370179398,4.7662476225496535,1.1052838853241174,49.72067039106145,"(5, 1, 0)",32.21626067902786,27.51673045238303,6.206172867360892,49.162011173184354,11,6.7799766925889315,4.7353437279157875,1.0982932465980901,51.955307262569825
ADANIGREEN.NS,Energy,29.590511658591073,20.47709101671613,1.8684201216432228,2.23463687150838,35.465324344299894,23.814541190876675,2.2213717182797494,50.83798882681564,29.874755182141215,20.5078140415951,1.8664279008622335,53.072625698324025,"(5, 1, 0)",35.51736432598977,26.501273895775142,2.4218788004420433,53.072625698324025,52,29.477509246941167,20.4888649258886,1.867019679377735,45.2513966480447
IOC.NS,Energy,2.7268077798226873,2.0098006605436014,1.3212210174169026,2.23463687150838,3.2472214410583056,2.3743373339212948,1.5593881408565735,48.60335195530726,2.7635967188982216,2.033506329137487,1.336369664646272,52.513966480446925,"(5, 1, 0)",7.485450357649987,6.138231842211505,3.9298992065760534,49.162011173184354,20,2.793279844412949,2.0493144250694275,1.3467553578776834,46.36871508379888
ADANIENSOL.NS,Energy,29.27180617596404,21.23603386053161,1.87325361618247,2.23463687150838,34.375189494021036,25.881108376638068,2.3239769366046032,48.04469273743017,29.476442370223957,21.68266473319164,1.9087316329971376,51.955307262569825,"(5, 1, 0)",40.60641667796228,31.005351657973993,2.723503703814856,48.04469273743017,25,29.293279443392876,21.24543594540831,1.8715820987597414,48.60335195530726
BPCL.NS,Energy,6.543352287715277,4.830206503415241,1.483095858464737,2.793296089385475,8.00109485127065,6.025870796758232,1.8473580509478469,44.134078212290504,6.581809978881916,4.844330811060713,1.4870097572701877,49.72067039106145,"(5, 1, 0)",22.34455168875523,17.928420764773918,5.150288299173639,53.63128491620112,18,6.645559499799883,4.960236299058936,1.5240695411149137,45.2513966480447
HINDUNILVR.NS,FMCG,30.53696396157235,22.643022760998605,1.007121324767329,2.23463687150838,33.406404875457,24.91389840965321,1.1080947098947014,44.134078212290504,30.646268460362226,22.817058455969423,1.0146292206484526,46.927374301675975,"(5, 1, 0)",35.09636393527952,25.663894738564945,1.1452351627432429,51.955307262569825,37,30.754033550130348,22.73874287464009,1.0133023347301044,54.7486033519553
ITC.NS,FMCG,4.494804284475448,2.8107093512678945,0.8868703953334436,2.793296089385475,5.400178315730405,3.4341386501521383,1.0850202030573688,43.01675977653631,4.523917998220952,2.832805518176755,0.8931682239715688,52.513966480446925,"(5, 1, 0)",5.916403442156595,3.842605676064944,1.2194395953260229,54.7486033519553,53,4.621401354491612,2.9179723774033413,0.9213209015156628,44.6927374301676
NESTLEIND.NS,FMCG,15.810552231026184,11.27410990965433,0.8603551573447517,2.23463687150838,17.649127640226887,12.705792664965587,0.9612228785586794,49.162011173184354,15.874524840831487,11.41768914817223,0.8709013178515933,44.6927374301676,"(5, 1, 0)",66.38988354788617,46.609857143636525,3.364484364860873,53.63128491620112,33,16.63730476856582,11.876051659437595,0.9037462583593303,49.162011173184354
VBL.NS,FMCG,8.87944921611575,6.534968370831881,1.3907600733238352,2.23463687150838,9.47246637050027,7.159654510878806,1.5272513233136251,48.60335195530726,9.016765619968664,6.625254904569725,1.410278861037214,53.072625698324025,"(5, 1, 0)",14.308202054177263,10.820884832456793,2.3761652062919687,52.513966480446925,34,9.094614284331536,6.79821102973167,1.4504009657685224,46.36871508379888
BRITANNIA.NS,FMCG,71.53104182195362,54.0,0.9456247245524984,2.23463687150838,77.14868607736675,59.0218015202811,1.0334923820003492,46.927374301675975,71.6748880132504,54.345080043181426,0.9524030350829796,49.72067039106145,"(5, 1, 0)",108.69737012076718,84.70221663320531,1.4647477034685463,50.83798882681564,39,71.86861399110613,54.21962047520441,0.9489871592993473,48.04469273743017
MARICO.NS,FMCG,8.882292097887019,6.951676182240747,0.8985784040152653,2.23463687150838,9.53915664178902,7.481650511136532,0.9657129554324976,48.04469273743017,8.876856296012551,6.946217524627851,0.897774837620827,48.60335195530726,"(5, 1, 0)",69.78357652971606,63.17580511849686,8.022803773288713,48.04469273743017,26,8.909419022909471,6.942831989227747,0.8975525434308801,51.955307262569825
GODREJCP.NS,FMCG,17.519501298031706,12.83460086417598,1.1715746079745153,2.793296089385475,19.59701781822838,14.73915203386391,1.34541431848126,47.486033519553075,17.57491817152118,12.85013925586015,1.1726028553628085,49.72067039106145,"(5, 1, 0)",21.3467719090392,16.80265935972416,1.5158317424363716,46.36871508379888,26,17.585833967843612,12.818582641465701,1.1698415110989853,53.63128491620112
TATACONSUM.NS,FMCG,16.992892150462268,12.669936196098115,1.1149353023378177,2.23463687150838,17.519984528748843,13.381878407543518,1.177942757887103,46.36871508379888,16.850599517457578,12.54666082063121,1.1043192526245476,55.3072625698324,"(5, 1, 0)",28.49141513832276,22.56202399397695,1.9657707148202717,49.162011173184354,44,17.052023718136116,12.826910902888574,1.1290261102650274,41.340782122905026
DABUR.NS,FMCG,7.119200771845172,5.237762962639664,1.1159751121522763,3.35195530726257,8.09630994789253,5.900466029197711,1.2613219288781028,51.39664804469274,7.145225962132172,5.271918915479696,1.1236175854525998,43.01675977653631,"(5, 1, 0)",22.24372128233085,17.295096115027054,3.8735644716550888,45.2513966480447,18,7.354176552726254,5.445539003832815,1.1639216238585997,46.927374301675975
COLPAL.NS,FMCG,31.58499485367796,22.73758701771997,1.1029999089691636,2.23463687150838,34.938261324513086,25.403674425074513,1.2369749902986882,49.72067039106145,31.804480389478197,23.029303030734937,1.1179591799530346,46.927374301675975,"(5, 1, 0)",68.392751297782,44.77655540764665,2.239841658686558,53.63128491620112,27,32.02109757704649,22.97416614602864,1.1154315388742269,48.60335195530726
