ticker,sector,horizon,h_days,early_stopping,epochs,always_up_acc,naive_RMSE,naive_MAPE,naive_DirAcc,linreg_RMSE,linreg_MAPE,linreg_DirAcc,lstm_RMSE,lstm_MAPE,lstm_DirAcc
KOTAKBANK.NS,Banking & Financial Services,next_day,1,True,11,48.0,5.365038120539671,1.0099956524222842,2.793296089385475,5.8195600906561795,1.1465023982570721,50.27932960893855,5.348870136209473,1.0026712293212654,53.63128491620112
BAJAJFINSV.NS,Banking & Financial Services,next_day,1,True,11,46.4,28.943486676121513,1.1494878660376058,3.35195530726257,30.472275667327537,1.2391385771623833,50.27932960893855,28.96412905830246,1.1601108998551868,50.27932960893855
SHRIRAMFIN.NS,Banking & Financial Services,next_day,1,True,12,54.2,22.73731661963962,1.6785720162591709,2.793296089385475,23.095597840991115,1.7045330339536622,49.162011173184354,23.223997727258922,1.7403549701313896,43.575418994413404
SBILIFE.NS,Banking & Financial Services,next_day,1,True,11,50.3,25.68371000254572,0.9774880288722042,2.2346368715083798,26.440350778522838,1.0315863830129923,48.60335195530726,25.798594563047182,0.9859519694680017,47.486033519553075
JIOFIN.NS,Banking & Financial Services,next_day,1,True,13,46.5,4.825642858976709,1.5276382413704988,3.9603960396039604,4.8376136643005445,1.5489802719831847,51.48514851485149,4.891859363740462,1.5568618075046927,49.504950495049506
RELIANCE.NS,Energy,next_day,1,True,12,46.4,18.885783606725283,0.9932556128735743,2.793296089385475,18.7515137700325,1.0010708471142988,49.162011173184354,18.762402809577296,1.0019580091145863,50.83798882681564
ADANIPOWER.NS,Energy,next_day,1,True,25,45.3,3.963825197025273,1.5757120543984542,2.2346368715083798,4.656706374259145,1.836015931134427,43.01675977653631,3.973848713864058,1.5798607145107537,46.36871508379888
NTPC.NS,Energy,next_day,1,True,13,48.0,4.627175162745208,0.953364145202646,5.027932960893855,4.718365175521014,0.982898871540734,50.83798882681564,4.628799501515234,0.9614290751007216,49.72067039106145
ONGC.NS,Energy,next_day,1,True,21,50.3,4.302646391865635,1.1400840856173597,2.2346368715083798,4.2951587026786795,1.1459076598393176,56.98324022346368,4.427803389209667,1.1877194011685932,52.513966480446925
POWERGRID.NS,Energy,next_day,1,True,18,50.8,3.6999483409186134,0.9305462106643951,2.2346368715083798,3.8931133929981185,0.9865205781719572,50.83798882681564,3.749337057711173,0.9437400121618107,54.7486033519553
